Date,Open,High,Low,Close,Adj Close,Volume
03/11/2020,49.220001,49.959999,49,49.349998,47.837646,15285100
04/11/2020,49.43,50.209999,49.080002,49.169998,47.663158,12930800
05/11/2020,49.759998,50.209999,49.34,49.439999,47.924885,12452400
06/11/2020,49.650002,49.990002,49.25,49.450001,47.934582,9294900
09/11/2020,52.5,53.259998,52.07,52.57,50.958965,33442000
10/11/2020,52.57,54.279999,52.450001,53.98,52.325752,29706700
11/11/2020,53.93,54.299999,53.330002,53.580002,51.938015,17399900
12/11/2020,53.049999,53.209999,52.610001,53.009998,51.385483,15024400
13/11/2020,53.25,53.5,52.889999,53.450001,51.811996,12447900
16/11/2020,54.5,54.619999,53.279999,53.849998,52.199738,14908200
17/11/2020,53.66,53.75,53.029999,53.68,52.03495,14248400
18/11/2020,53.75,54.02,52.560001,52.610001,50.997742,15278200
19/11/2020,52.490002,53.23,51.950001,53.130001,51.501808,17189500
20/11/2020,53.189999,53.25,52.59,52.669998,51.055904,15645600
23/11/2020,52.950001,53.169998,52.200001,52.68,51.065598,13191900
24/11/2020,53.139999,53.59,53.02,53.220001,51.58905,13827600
25/11/2020,53.07,53.279999,52.790001,52.93,51.307938,10194800
27/11/2020,53.110001,53.189999,52.610001,52.700001,51.084984,8499300
30/11/2020,52.09,52.189999,51.080002,51.599998,50.410885,43203600
01/12/2020,52.139999,52.330002,51.790001,52.040001,50.840744,18968800
02/12/2020,51.900002,52.130001,51.639999,52.110001,50.90913,14913100
03/12/2020,51.900002,52.939999,51.900002,52.779999,51.56369,17318900
04/12/2020,52.779999,53.869999,52.759998,53.849998,52.609032,18122400
07/12/2020,53.759998,53.779999,52.700001,52.990002,51.768852,16210900
08/12/2020,52.939999,53.48,52.790001,53.18,51.954472,12485800
09/12/2020,53.369999,53.599998,53,53.330002,52.101017,11508400
10/12/2020,53.400002,53.509998,52.98,53.049999,51.827465,12097300
11/12/2020,52.799999,53.540001,52.779999,53.349998,52.120552,10638100
